Kp,Ki,dx_f,time_recognized
4.00,0.06,5.0,19.88
4.00,0.06,10.0,19.96
4.00,0.06,15.0,19.76
4.00,0.06,20.0,19.96
4.00,0.06,25.0,14.17
4.00,0.06,30.0,7.20
4.00,0.07,5.0,19.98
4.00,0.07,10.0,19.95
4.00,0.07,15.0,19.87
4.00,0.07,20.0,19.98
4.00,0.07,25.0,19.97
4.00,0.07,30.0,6.83
4.00,0.08,5.0,19.98
4.00,0.08,10.0,19.98
4.00,0.08,15.0,19.95
4.00,0.08,20.0,19.98
4.00,0.08,25.0,19.98
4.00,0.08,30.0,6.23
4.00,0.09,5.0,19.92
4.00,0.09,10.0,19.91
4.00,0.09,15.0,19.91
4.00,0.09,20.0,19.99
4.00,0.09,25.0,19.97
4.00,0.09,30.0,16.32
4.00,0.10,5.0,19.98
4.00,0.10,10.0,20.00
4.00,0.10,15.0,20.00
4.00,0.10,20.0,19.96
4.00,0.10,25.0,19.97
4.00,0.10,30.0,6.95
4.50,0.01,5.0,19.93
4.50,0.01,10.0,19.99
4.50,0.01,15.0,19.98
4.50,0.01,20.0,19.92
4.50,0.01,25.0,19.95
4.50,0.01,30.0,19.95
4.50,0.02,5.0,19.85
4.50,0.02,10.0,19.97
4.50,0.02,15.0,19.99
4.50,0.02,20.0,19.95
4.50,0.02,25.0,19.99
4.50,0.02,30.0,19.96
4.50,0.03,5.0,19.90
4.50,0.03,10.0,19.99
4.50,0.03,15.0,20.01
4.50,0.03,20.0,19.95
4.50,0.03,25.0,19.98
4.50,0.03,30.0,19.97
4.50,0.04,5.0,19.90
4.50,0.04,10.0,20.00
4.50,0.04,15.0,20.00
4.50,0.04,20.0,19.95
4.50,0.04,25.0,13.98
4.50,0.04,30.0,19.92
4.50,0.05,5.0,19.99
4.50,0.05,10.0,19.97
4.50,0.05,15.0,20.01
4.50,0.05,20.0,19.95
4.50,0.05,25.0,12.14
4.50,0.05,30.0,19.86
4.50,0.06,5.0,19.97
4.50,0.06,10.0,19.99
4.50,0.06,15.0,20.00
4.50,0.06,20.0,19.88
4.50,0.06,25.0,19.97
4.50,0.06,30.0,19.98
4.50,0.07,5.0,19.98
4.50,0.07,10.0,19.95
4.50,0.07,15.0,19.95
4.50,0.07,20.0,19.95
4.50,0.07,25.0,19.95
4.50,0.07,30.0,20.01
4.50,0.08,5.0,19.92
4.50,0.08,10.0,19.96
4.50,0.08,15.0,20.00
4.50,0.08,20.0,19.97
4.50,0.08,25.0,7.60
4.50,0.08,30.0,19.95
4.50,0.09,5.0,20.00
4.50,0.09,10.0,19.96
4.50,0.09,15.0,19.96
4.50,0.09,20.0,19.97
4.50,0.09,25.0,20.00
4.50,0.09,30.0,19.99
4.50,0.10,5.0,19.97
4.50,0.10,10.0,19.95
4.50,0.10,15.0,19.99
4.50,0.10,20.0,20.01
4.50,0.10,25.0,20.00
4.50,0.10,30.0,19.99
5.00,0.01,5.0,20.00
5.00,0.01,10.0,19.97
5.00,0.01,15.0,19.96
5.00,0.01,20.0,20.00
5.00,0.01,25.0,7.74
5.00,0.01,30.0,19.97
5.00,0.02,5.0,20.00
5.00,0.02,10.0,19.93
5.00,0.02,15.0,19.95
5.00,0.02,20.0,14.32
5.00,0.02,25.0,0.32
5.00,0.02,30.0,19.99
5.00,0.03,5.0,19.97
5.00,0.03,10.0,19.96
5.00,0.03,15.0,20.00
5.00,0.03,20.0,19.97
5.00,0.03,25.0,10.66
5.00,0.03,30.0,0.24
5.00,0.04,5.0,19.95
5.00,0.04,10.0,19.99
5.00,0.04,15.0,19.98
5.00,0.04,20.0,19.37
5.00,0.04,25.0,19.96
5.00,0.04,30.0,20.00
5.00,0.05,5.0,19.96
5.00,0.05,10.0,19.88
5.00,0.05,15.0,19.98
5.00,0.05,20.0,19.98
5.00,0.05,25.0,19.90
5.00,0.05,30.0,19.99
5.00,0.06,5.0,19.96
5.00,0.06,10.0,19.90
5.00,0.06,15.0,19.99
5.00,0.06,20.0,17.92
5.00,0.06,25.0,20.01
5.00,0.06,30.0,18.32
